	close	high	low	open	date	volume
5586	0.00170496	0.00170496	0.00170298	0.00170298	2017-10-30T03:15:00	1754.54597857
5587	0.00170318	0.00170747	0.00170318	0.00170496	2017-10-30T03:20:00	313.65648331
5588	0.00170318	0.0017075	0.00170318	0.00170747	2017-10-30T03:25:00	658.97898245
5589	0.00171	0.00171	0.0017075	0.0017075	2017-10-30T03:30:00	1697.20226549
5590	0.00170998	0.00170998	0.00170147	0.001705	2017-10-30T03:35:00	529.99696361
5591	0.00170998	0.00170998	0.00170148	0.00170998	2017-10-30T03:40:00	414.484939
5592	0.00170998	0.00171	0.00170148	0.00170998	2017-10-30T03:45:00	3503.3923928
5593	0.00170148	0.00170999	0.00170148	0.001702	2017-10-30T03:50:00	3051.746959
5594	0.00170149	0.00170149	0.00170148	0.00170148	2017-10-30T03:55:00	282.09407816
5595	0.00170589	0.00170995	0.00168827	0.00170149	2017-10-30T04:00:00	9361.7808104
5596	0.00168792	0.00170547	0.00168792	0.001701	2017-10-30T04:05:00	846.07050625
5597	0.001681	0.00168792	0.00168	0.00168792	2017-10-30T04:10:00	2147.21922159
5598	0.0017025	0.0017025	0.0016849	0.0016849	2017-10-30T04:15:00	271.45214497
5599	0.0017022	0.00170493	0.0017022	0.00170251	2017-10-30T04:20:00	718.86713514
5600	0.001703	0.00170493	0.0017022	0.0017022	2017-10-30T04:25:00	998.96251135
5601	0.001703	0.001703	0.00170059	0.00170238	2017-10-30T04:30:00	248.95385949
5602	0.00170486	0.00170486	0.00169999	0.00170486	2017-10-30T04:35:00	161.48306585
5603	0.00170485	0.00170485	0.00169501	0.0017	2017-10-30T04:40:00	130.33579661
5604	0.00169374	0.00170481	0.00169374	0.0017048	2017-10-30T04:45:00	32.77446569
5605	0.001704	0.00170476	0.00169375	0.00170476	2017-10-30T04:50:00	339.93333231
5606	0.001704	0.001704	0.00169501	0.001704	2017-10-30T04:55:00	1181.38181903
5607	0.0017	0.00170399	0.0017	0.00170399	2017-10-30T05:00:00	250.94827785
5608	0.0017	0.0017	0.0017	0.0017	2017-10-30T05:05:00	156.65365792
5609	0.00170398	0.00170398	0.0017	0.0017	2017-10-30T05:10:00	492.19983489
5610	0.00170017	0.001702	0.0017	0.001702	2017-10-30T05:15:00	1209.10712239
5611	0.0017	0.001702	0.0017	0.00170017	2017-10-30T05:20:00	649.26760203
5612	0.0017	0.001702	0.0017	0.001701	2017-10-30T05:25:00	1411.33601503
5613	0.001702	0.001702	0.00169098	0.0017	2017-10-30T05:30:00	411.37133172
5614	0.00169	0.0017	0.00169	0.0017	2017-10-30T05:35:00	882.67353596
5615	0.00169001	0.00169001	0.00169001	0.00169001	2017-10-30T05:40:00	64.58801513
5616	0.00169001	0.0017	0.00169	0.00169001	2017-10-30T05:45:00	364.21658626
5617	0.00168	0.001699	0.00168	0.001699	2017-10-30T05:50:00	602.09002004
5618	0.00169	0.00169	0.001685	0.00168751	2017-10-30T05:55:00	295.49039348
5619	0.00169001	0.00169001	0.00169	0.00169	2017-10-30T06:00:00	72.63389203
5620	0.00169194	0.001695	0.00169194	0.00169194	2017-10-30T06:05:00	65.47973797
5621	0.00169195	0.001699	0.00169195	0.00169438	2017-10-30T06:10:00	1385.50379374
5622	0.00169225	0.0017	0.00169195	0.00169195	2017-10-30T06:15:00	875.68033028
5623	0.00169999	0.0017	0.00169225	0.0017	2017-10-30T06:20:00	239.64621911
5624	0.00166745	0.00169999	0.00166143	0.00169999	2017-10-30T06:25:00	5642.80015441
5625	0.00168648	0.00168648	0.00166745	0.00166745	2017-10-30T06:30:00	389.67250335
5626	0.00168878	0.0016969	0.00168648	0.00168648	2017-10-30T06:35:00	204.23816105
5627	0.00168802	0.00170108	0.00168704	0.00168878	2017-10-30T06:40:00	520.15212552
5628	0.00170107	0.00170107	0.00168803	0.00168803	2017-10-30T06:45:00	8.57
5629	0.00169	0.0017	0.00168806	0.00168806	2017-10-30T06:50:00	658.0
5630	0.0017	0.0017	0.00169999	0.0017	2017-10-30T06:55:00	747.17875432
5631	0.00170092	0.00170092	0.00169001	0.00169001	2017-10-30T07:00:00	390.27081766
