TimeStamp,CoinName,OrderType,Price,OrderUuid
2017-10-19T18:48:24.527,BTC-ADA,LIMIT_SELL,0.05032396,0cd6166d-613f-4977-bcc3-d5e6098cade2
2017-10-19T18:16:38.773,BTC-MONA,LIMIT_SELL,0.05094796,006e0d16-3de0-44d1-b4c5-970c646684aa
2017-10-19T17:58:14.123,BTC-MONA,LIMIT_BUY,0.04999999,e6f62517-8326-468c-a1a4-16492afc4f93
2017-10-19T11:51:30.953,BTC-ADA,LIMIT_BUY,0.04999999,a83ca10e-84a5-4347-af75-e3b1b68d4006
2017-10-19T06:05:26.31,BTC-DGB,LIMIT_SELL,0.0481081,11e105ed-4f0d-4591-80dc-83f7154fd1e1
2017-10-19T05:35:14.733,BTC-XRP,LIMIT_SELL,0.05058697,6498f48a-05b6-4865-a206-6091462ce7bb
2017-10-19T04:51:14.417,BTC-DGB,LIMIT_BUY,0.04999999,13de3680-bc35-44ef-8db7-09afee34763e
2017-10-19T03:48:04.093,BTC-XRP,LIMIT_BUY,0.04999999,9204f8aa-9561-4222-995c-6b83043f8202
2017-10-18T23:34:51.99,BTC-NEO,LIMIT_SELL,0.05086416,a7c0d535-8843-4635-a1bd-5bf329444426
2017-10-18T23:21:27.477,BTC-NEO,LIMIT_BUY,0.04999999,e130fbcc-17b6-4c4e-b0ca-4e5fb11fdfc3
2017-10-18T14:50:59.583,BTC-MONA,LIMIT_SELL,0.05086247,cf9a95ab-7185-411d-808d-255ea98247e5
2017-10-18T14:01:52.073,BTC-MONA,LIMIT_BUY,0.04999999,7693637e-f099-4b77-af9a-dab5e5253e2e
2017-10-17T22:34:51.313,BTC-DGB,LIMIT_SELL,0.05082416,98911fd7-ec4c-4506-99c6-29d5a07d845b
2017-10-17T21:30:27.783,BTC-DGB,LIMIT_BUY,0.04999999,3267f472-1a8d-4c34-937e-93339d3dfbdf
2017-10-17T17:56:19.93,BTC-MCO,LIMIT_SELL,0.05095541,3c0b63ee-b7a1-4ccd-9475-a231a89af32a
2017-10-17T17:33:33.09,BTC-XRP,LIMIT_SELL,0.05053488,afef4987-1e44-4940-8ee6-2731eadd5dc4
2017-10-17T17:32:13.273,BTC-MCO,LIMIT_BUY,0.04999999,78e27a12-195a-4900-b8be-a5d4bb6174f2
2017-10-17T16:27:00.377,BTC-XRP,LIMIT_BUY,0.04999999,22e9a584-37d6-4897-8c99-1de72223f0d3
2017-10-17T13:21:45.47,BTC-LTC,LIMIT_SELL,0.05062939,f72e3cd5-f86c-491f-9d61-c0cc92cbc523
2017-10-17T13:13:53.44,BTC-RBY,LIMIT_SELL,0.05109005,58fae8ed-339a-4c07-b62d-d125c59600d5
2017-10-17T12:15:28.2,BTC-RBY,LIMIT_BUY,0.04999999,6d8085f9-993f-421d-aae7-4ab7ba4a9fbd
2017-10-17T11:31:01.16,BTC-LTC,LIMIT_BUY,0.04999999,c636bf20-6eb2-489c-87a0-0bcb6a355051
2017-10-16T23:20:28.383,BTC-SWIFT,LIMIT_SELL,0.04822875,600afac2-1729-44d8-ba7e-5939302cf315
2017-10-16T21:59:53.533,BTC-SWIFT,LIMIT_BUY,0.04999999,f60edd24-afb2-4073-944a-aea4e5b103ab
2017-10-16T22:02:58.477,BTC-DGB,LIMIT_SELL,0.05056178,c5df6b5f-d942-442f-aecd-c9ef14410a5b
2017-10-16T20:18:37.97,BTC-DGB,LIMIT_BUY,0.04999999,32b8be1d-604b-4863-9c77-6b4bc3e8943c
2017-10-15T14:41:44.933,BTC-DGB,LIMIT_SELL,0.05093749,def6728b-4e71-45f6-a2d2-3b852d1d9c0b
2017-10-15T13:52:53.68,BTC-DGB,LIMIT_BUY,0.04999998,75b35cdb-c092-4590-a123-0d447938144d
2017-10-14T13:25:43.39,BTC-ETH,LIMIT_SELL,0.05051157,1466d523-1a63-483b-996d-22734138ac52
2017-10-14T11:27:53.027,BTC-RBY,LIMIT_SELL,0.05155761,0d955364-2ef3-4d6e-aa8a-ca07239cb9bf
2017-10-14T11:24:46.243,BTC-RBY,LIMIT_BUY,0.04999999,db7c33a7-061b-45b7-bbd2-f77886cb8920
2017-10-14T11:11:54.3,BTC-MANA,LIMIT_SELL,0.05086955,cf9a6cf8-b3f5-463a-a9a7-bb6d13877a5f
2017-10-14T11:06:31.55,BTC-ETH,LIMIT_BUY,0.04999999,76dab71f-63cb-4dba-ae3d-75bf22d81c96
2017-10-14T10:20:54.957,BTC-MANA,LIMIT_BUY,0.04999999,0e5d853a-9aae-49fa-a096-ff7635f2199b
2017-10-14T07:11:58.58,BTC-ADA,LIMIT_SELL,0.05210237,d2d2ac0b-aa06-46e9-8c56-f0434b8c0564
